	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
dasing	32,173	8.040	26.23	0	100
ltlnou	32,173	212.8	810.2	20	32,977
rimvcu	32,173	1.156e+07	3.794e+08	0	4.794e+10
v1115	31,598	5.124e+08	8.602e+10	0	1.529e+13
output	32,173	6.605e+07	8.160e+08	4,600	8.403e+10
vtlvcu	32,173	2.686e+07	2.754e+08	1,720	2.330e+10
prprex	15,962	16.05	32.73	0	100
mu	32,173	47,620	418,367	2.933	4.586e+07
tfp	18,735	10.63	0.913	7.186	16.35
					
Number of groups	6,500	6,500	6,500	6,500	6,500
